date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:31	188/188	---MCZ	200	added ('OK')	text/plain	etag:CNT6xLu34OYCEAE=	https://jason-sokaris.my-free.website/robots.txt		(from )
12:59:31	169691/169691	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2017:41:14%20GMT	https://jason-sokaris.my-free.website/	jason-free3/jason-sokaris.my-free.website/index.html	(from )
12:59:31	2799/2799	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2031%20Dec%202019%2017:41:14%20GMT	https://jason-sokaris.my-free.website/home.ea4332e5.js	jason-free3/jason-sokaris.my-free.website/home.ea4332e5.js	(from https://jason-sokaris.my-free.website/)
12:59:32	24971/24971	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2017:59:32%20GMT	https://jason-sokaris.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-5%2F755%2F178755%2FXwezxHAH%2F9fca67f6f50a41d5887976b6a96aaf72&methods=resize%2C500%2C5000	jason-free3/jason-sokaris.my-free.website/s/cdn/v1.0/i/m5fd3.png	(from https://jason-sokaris.my-free.website/)
12:59:32	2284391/2284391	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2017:59:31%20GMT	https://jason-sokaris.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-5%2F755%2F178755%2FXwezxHAH%2F952ee91131b44e2f9602ce84b662f6d5&methods=resize%2C2000%2C5000	jason-free3/jason-sokaris.my-free.website/s/cdn/v1.0/i/m763b.png	(from https://jason-sokaris.my-free.website/)
12:59:32	166822/166822	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2017:41:14%20GMT	https://jason-sokaris.my-free.website/gallery	jason-free3/jason-sokaris.my-free.website/gallery.html	(from https://jason-sokaris.my-free.website/)
12:59:32	173402/173402	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2017:41:14%20GMT	https://jason-sokaris.my-free.website/location	jason-free3/jason-sokaris.my-free.website/location.html	(from https://jason-sokaris.my-free.website/)
12:59:32	174224/174224	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2017:41:14%20GMT	https://jason-sokaris.my-free.website/contact-us	jason-free3/jason-sokaris.my-free.website/contact-us.html	(from https://jason-sokaris.my-free.website/)
12:59:33	1646166/1646166	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Dec%202019%2017:59:33%20GMT	https://jason-sokaris.my-free.website/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-websitebuilder-v1-0-5%2F755%2F178755%2FXwezxHAH%2Fa8d6d89c69ee435fb6270d542fff3984&methods=resize%2C1000%2C5000	jason-free3/jason-sokaris.my-free.website/s/cdn/v1.0/i/m2c82.png	(from https://jason-sokaris.my-free.website/)
12:59:33	1169/1169	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Dec%202019%2017:59:33%20GMT	https://jason-sokaris.my-free.website/facebook	jason-free3/jason-sokaris.my-free.website/facebook	(from https://jason-sokaris.my-free.website/)
